               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1158,            0.045807,            0.041837,           0.0033857,             0.31111,           0.0061556,           0.0015976,             0.10015,            0.033604,            0.040082,              0.0928,              0.0008,              0.0008
                   1,            0.097342,            0.051719,            0.039436,           0.0061828,                 0.6,            0.053492,            0.015136,             0.08133,            0.034294,            0.036832,            0.084532,           0.0015317,           0.0015317
                   2,            0.087785,             0.05671,            0.036652,             0.13366,             0.17778,             0.17293,            0.042577,            0.068314,            0.032383,            0.033472,            0.076085,           0.0020852,           0.0020852
                   3,            0.076583,            0.055646,            0.033713,             0.20113,             0.53333,             0.23646,            0.077703,            0.065568,            0.030493,            0.031563,            0.067461,           0.0024605,           0.0024605
                   4,            0.069869,            0.043756,            0.030875,             0.19213,             0.53333,             0.25907,            0.081945,            0.059528,              0.0368,            0.029242,            0.058658,           0.0026576,           0.0026576
                   5,            0.062574,            0.042993,             0.02924,             0.11117,             0.55556,             0.25831,             0.11449,            0.057291,            0.036024,             0.02644,            0.049677,           0.0026765,           0.0026765
                   6,            0.059882,            0.037685,             0.02841,             0.39733,             0.75556,             0.53727,             0.24863,            0.054433,            0.029991,            0.024655,            0.040517,           0.0025172,           0.0025172
                   7,            0.054232,            0.040148,            0.026304,             0.33656,             0.57062,             0.52445,             0.22217,             0.04734,            0.026379,            0.023643,             0.03118,           0.0021797,           0.0021797
                   8,            0.050815,            0.036876,            0.025648,             0.40563,                 0.8,             0.59137,             0.27736,            0.043783,             0.02389,            0.023058,            0.021664,            0.001664,            0.001664
                   9,            0.047998,            0.035852,            0.024792,             0.49101,             0.76589,             0.63948,              0.3481,             0.04117,            0.022507,            0.022765,             0.01197,           0.0009701,           0.0009701
